iter	Passed	Remaining
0	214	214673
1	220	110225
2	227	75673
3	232	57975
4	248	49383
5	252	41861
6	263	37333
7	273	33947
8	313	34552
9	322	31927
10	324	29193
11	327	26954
12	330	25071
13	337	23737
14	340	22390
15	344	21159
16	353	20420
17	355	19406
18	357	18462
19	359	17608
20	361	16830
21	362	16123
22	365	15526
23	367	14938
24	369	14400
25	370	13897
26	372	13432
27	374	12997
28	376	12594
29	379	12257
30	381	11933
31	383	11605
32	385	11289
33	386	10991
34	388	10712
35	390	10447
36	392	10222
37	395	10011
38	397	9792
39	399	9577
40	400	9371
41	402	9177
42	403	8991
43	406	8823
44	408	8659
45	409	8496
46	411	8338
47	413	8193
48	414	8053
49	416	7917
50	418	7784
51	420	7672
52	422	7551
53	424	7432
54	425	7319
55	427	7207
56	429	7100
57	430	6997
58	432	6897
59	443	6954
60	449	6922
61	452	6843
62	453	6752
63	455	6664
64	457	6578
65	458	6495
66	460	6413
67	462	6341
68	464	6270
69	467	6207
70	468	6136
71	470	6066
72	472	5998
73	474	5933
74	476	5877
75	478	5816
76	481	5766
77	490	5793
78	491	5733
79	493	5674
80	496	5629
81	497	5573
82	498	5509
83	500	5456
84	502	5404
85	504	5365
86	506	5315
87	508	5268
88	510	5227
89	512	5181
90	514	5137
91	516	5094
92	518	5056
93	520	5016
94	522	4973
95	523	4932
96	526	4899
97	527	4858
98	529	4819
99	531	4780
100	533	4747
101	535	4712
102	536	4675
103	538	4640
104	540	4609
105	542	4576
106	544	4545
107	546	4514
108	548	4483
109	550	4452
110	552	4421
111	553	4391
112	555	4364
113	557	4334
114	559	4304
115	561	4277
116	562	4247
117	564	4221
118	566	4193
119	568	4166
120	570	4142
121	571	4112
122	574	4095
123	576	4073
124	578	4050
125	580	4028
126	582	4002
127	584	3983
128	587	3969
129	590	3950
130	592	3929
131	596	3922
132	602	3924
133	604	3907
134	606	3888
135	608	3866
136	610	3845
137	612	3824
138	615	3809
139	616	3789
140	619	3772
141	620	3749
142	622	3728
143	624	3709
144	626	3695
145	629	3682
146	632	3669
147	633	3649
148	635	3630
149	637	3614
150	639	3598
151	641	3579
152	645	3573
153	647	3556
154	649	3540
155	651	3523
156	653	3506
157	654	3489
158	656	3474
159	659	3462
160	661	3448
161	663	3431
162	665	3415
163	667	3402
164	669	3387
165	675	3394
166	678	3383
167	681	3372
168	682	3357
169	684	3342
170	687	3332
171	689	3319
172	691	3307
173	693	3294
174	695	3279
175	697	3266
176	700	3255
177	702	3246
178	705	3235
179	707	3221
180	708	3207
181	711	3198
182	714	3189
183	720	3195
184	725	3198
185	729	3193
186	741	3223
187	744	3213
188	751	3226
189	755	3221
190	757	3209
191	768	3234
192	774	3239
193	784	3259
194	787	3252
195	790	3244
196	796	3246
197	798	3236
198	802	3230
199	812	3249
200	817	3248
201	818	3235
202	825	3241
203	827	3230
204	829	3217
205	831	3204
206	834	3196
207	841	3204
208	843	3190
209	844	3178
210	847	3167
211	848	3154
212	857	3167
213	860	3160
214	862	3149
215	864	3137
216	867	3131
217	871	3125
218	874	3117
219	875	3105
220	878	3095
221	879	3083
222	886	3089
223	888	3077
224	889	3065
225	891	3054
226	893	3042
227	895	3031
228	901	3034
229	903	3024
230	904	3012
231	906	3001
232	908	2989
233	910	2982
234	914	2977
235	917	2968
236	918	2957
237	921	2949
238	923	2939
239	924	2928
240	929	2927
241	931	2918
242	933	2909
243	936	2900
244	937	2890
245	943	2891
246	945	2883
